Inscription	Museum Reference	Dimensions
PH Wc 45	HM 1535	2,30 x [2.50 x 2,50 cm
PH Wc 46	HM 1536 	[2,30] x 3.50 x 0,70 cm. 
PH Wc <47 > 	MSPH 239 ? 96 	
ZA Wc 2 	HM 84	3,00 x 2,80 x 1,20 cm
ARKH 1	HM 1668	 [3,50] x [4,00] x 0,95 cm
ARKH 2	HM 1673	 4,90 x7,50 x 0,70 cm
ARKH 3	HM 1675	 [5,5 x 40,10 x 1,25 cm
ARKH 4	HM 4670	 7,65 x [7,50] x 4,20 cm
ARKH 5	HM 4674	 7,80 [5,70] x 1,20 cm
ARKH 6 	НМ 4671 	4,90 x [2,60] x 0,70 cm
ΚΗ 1		[4,50)-[3,00] . 1,10 cm
КН 4		[4,00] x [3,50] x 1,20 cm
ΚΗ 6 		[8.30] x 13,70 x 1,80 cm
ΚΗ 7a 		Lg,70] x 1,40 cm
ΚΗ 8 		[7,to] x [6,80] x 1,30 cm
KH 9 		6.80] x 10.Iox 0,90 an 
KH 10 		40,20 x [6,40] x 1,40 cm
KH 11 		8,20 x 11,10 x 980 cm
KH 12		 [7.1.]x [7.10] x 4,00 cm
КН 14 		[1.6.] x [4,40] x 3,30 cm
KH 15		 [4,00] x 4,90 x 0,+0 cm
КН 17 		[3,30] x [4,50] x 0,90 cm
ΚΗ 19 		[4,90] x 4,60 x 0,90 cm
KH 20		 10,30 x [10.10] x 100 cm
KH 21		 [5,30] x [5,40] x 0,90 cm
КН 23		 [2,90] x [ 4,00] x 1,00 cm
ΚΗ 26		 [4,40] x [3,30] x 1,00 cm
КН 29		 [3.40] x [5,00] x 1,00 cm
КH 31		 [2,60] x [5,00] x 0,90 cm
KH 34		 [2,90] x [2,10] x 0,60 cm
КН 37		 [6.40] x [3,10] x 0,60 cm
KH 40		 [3,60] x [2,50] x 1,00 cm
KH 43		 [3,90] x [4.80] x 4,10 cm
КН 46		 [2,40] x [4.40]*[0,40]cm
KH 50		 [5,60] x [5,10] x 1,80 cm
KH 53		 [3,60] x [2,30] x 0,90 cm
KH 56		 [2,50] x [2,40] x 1,00 m. 
KH 57		 [2.90] [5,00] x 1,40 cm
КН 58 		[5,60] x [7,20] x 1,40 cm
KH 60		 [5,30) x [5,00] x 0,90 cm
KH 62		 [3,10]x [4.50] x ,20 cm
KH 65		 [8,50] x [1,10] x 0,70 cm
KH 68		 [2,10] x [1,60] x 0,50 cm
ΚΗ 72		 [1,00 ]x [1,9, ] x [0,80]m cm
ΚΗ 74		 [3,60] x [3,60]x [1,20] cm
ΚΗ 7		 [3,00) x [2,00) x 0,90 cm
KH 80		 [2,4 x [ 1,30 x 0,80cm
ΚΗ 83		 [3,38 x [3,6] x 1,00 cm
KH 86		 [5,50] x [5,10 x 4,40cm
KH Wa 1001		1,50 x 3,00 x 1,80 cm
KH Wa 1002		4,30 x .20 x 1,70 cm
KH Wa 1003		1,80 x 3,20 x ca 1,50 cm
KH Wa 1004 		1,90 x 4,30 x ca 4,50 cm
KH Wa 1005		4.60 x 1,80 x 4,40 cm
KH Wa 1006		4,30 x 460 x 4,20 e
KH Wa 1007		1,80 x 4,90 x 1,10 em.
KH Wa 1008		1,10 x 2,40 x 4,90 cm
KH Wa 1009		4,60 x 1,00 x 1,60 cm
KH Wa 1010		1,80 x 3,30 x 1,00 cm.
KH Wa 1011		2,20 x 1,50 x 1,80 cm
KH Wa 1012 		3,00 X 1,50 k 4,30 cm
KH Wa 1013		3,20 x 1,60 x 1,40 cm
KH Wa 1014		2,30 x 4,50 x 4,40 cm
KH Wa 1015		2,60 x 4,80 x 4,60 cm
KH Wa 1016		9,80 x 1,80 x 4,20 cm
KH Wa 1017		3,30 x [1.90] x ca 1,50 cm
KH Wa 1018		3,30 x 3,30 x ca 2,00 cm
KH Wa 1019		2,90 x 1,8O x ca 1,00 cm
KH Wa 1020 		[1,90] x [4,80) x ca [1,60] cm
KH Wc 2001		4,90 x 4,40 x 1,50 cm
KH Wc 2002		4,80 x 4,80 x 14,40 cm
KH Wc 2003 		4,80 x [1,80] x 4,20 cm
KH Wc 2004 		[3,00] x 6,10 x 1,60 cm
KH Wc 2005		3,60 x 3,40 x 4,40 cm
KH Wc 2006 		4.50 x 4,40 x 1,60 cm
KH Wc 2007		2,70 x 2,30 x 1,80 cm
KH Wc 2008		4,50 x 4.70 x 1,80 cm
KH Wc 2009		4.40 x 4,20 x 1,40 cm
KH Wc 2010		6,90 x 7,00 x 4,60 cm
KH Wc 2011		3,30 x 3,40 x [0,80] cm
KH Wc 2012		4,70 x 5,00 x 4,20 cm
KH Wc 2013 		3,40 x [4,00] x [ 4,00] cm
KH Wc 2014 		3,30 x 3,40 x 1,40 cm
KH Wc 2015		3.00 x 2.90 x 0,90 cn
KH Wc 2016		8,30 x 3,10 x [0,80]cm
KH Wc 2017		3,50 x 3,30 x 1,30 cm
KH Wc 2018 		30 x 4,20 cm
KH Wc 2019		6,30 x 6,0 x 4,60 cm
KH Wc 2020		[5.60] x 6.40 x 4,40cm
KH Wc 2021		3.60 x 3,50 x 4,60 cm
KH Wc 2022 		[840] x 4,80 x [0,80]cm
KH Wc 2023 		[4.30] x [2.90] x [0,50]cm
KH Wc 2024 		[3,90] x [4,40] x 0,80 cm
KH Wc 2025		[2,60] x [2,10] x [0,60] cm
KH Wc 2026		3,10 x 2.70k 1,00 cm
KH Wc 2027		3.90 x 3,70 x 4,30 cm
KH Wc 2028 		3,10 x 3,00 x 4,00 cm
KH Wc 2029 		4,60 x 4,50 x 4,40 cm
KH Wc 2030		4,40 x 4,40 x 1,50 cm
KH Wc 2031		4,20 x 4,50 x 4,70 cm
KH Wc 2032		6.30 x [4.00] x 4,20 cm
KH Wc 2033		4,20 x [4,00] x 1,60 cm
KH Wc 2034 		3,80 x 3,80 x 1,50 cm
KH Wc 2035		3,10 x 2.70 x 4,20 cm
KH Wc 2036		2,70 x 2,70 x 4,20 cm
KH Wc 2037		3,00 x 3,00 x 4,10 cm
KH Wc 2038 		2,30 x 42Ox 4,00 cm
KH Wc 2039		2,60 x 2,4OK 4,00 cm
KH Wc 2041		2,50 x 2,7 x 1,30 cm
KH Wc 2042 		8,40 x 4,30 x 1,40 cm
KH Wc 2043 		2.90 x [2.20] x 4,10 cm
KH Wc 2044 		[2,70] x [3,00] x 4,10cm
KH Wc 2045 		9. 70 x 2,50 x 4,00 cm
KH Wc 2046		3,30 x 3,40 x 4,30 cm
KH Wc 2047		3,50 x 3,60 x 4,60 cm
KH Wc 2048		3,30 x 3,0Ox 4,30 cm
KH Wc 2049		4.70 x 4,50 x 4,70 cm .
KH Wc 2050		3,60 x 3,70 x 1,30 cm
KH Wc 2051		3,90 x 3,20 x 4,40 cm
KH Wc 2052 		3,40 x 3,30 x 4,50 cm.
KH Wc 2053 		3,30 x 3,50 x 4,50 cm
KH Wc 2054		4,40 x 3,80 x 4,60 cm
KH Wc 2055		4,70 x 4,60 x 4,60 cm
KH Wc 2056 		6,00 x 5,90 x 4,40 cm
KH Wc 2057		5,90 x 6,20 x 1,40 cm
KH Wc 2058		6,10 x 6,00 x 400 cm
KH Wc 2059 		7,00 x 7.40 x 1,30 cm
KH Wc 2060 		[4,80] x [3,50] [0.90]cm
KH Wc 2061		[2.70] x [3,10] x [0,58] cm
KH Wc 2062		8,20 x [2.90] x 4.40 cm
KH Wc 2063 		6.90 x [5,50] x 4,60 cm
KH Wc 2064 		2,80 x 3,20 x 1,20 cm
KH Wc 2065		220 x 2,20 x 4,10 cm
KH Wc 2066 		2,60 x 2,50 x 4,00 cm
KH Wc 2067		3.20 x 3.50 x 4,40 cm
KH Wc 2068		3,70 x 3,50 x 4,50 cm
KH Wc 2069		3,20 x 3,60 x 4,40 cm
KH Wc 2070		40 x 4,50 x 1,20 cm
KH Wc 2084		[1,50] x 4.0O x 1,50 cm
KH Wc 2097		[2,50) x 6,0O x 1,70 cm
KH Wc 2098		2,90 x 4,10 x 1,00 cm
KH Wc 2099		2,90 x 2,70 4,40 cm
KH Wc 2100		3,90 x 4, l0 x 4,50 cm
KH Wc 2101		4,80 x 5,00 x 4,20 cm.
KH Wc 2102		2,80 x 3,10 x 4,40 cm
KH Wc 2103 		3.70 x 3,60 x 4,00 cm
KH Wc 2104 		4,90 x 5,30 x 1,00 cm
KH Wc 2105 		4,50 x 4,70 x 1,30 cm
KH Wc 2106		4,70 x 4,80 x 4,60 cm
KH Wc 2109 		 [2,40] x [1,90] x [0,40] cm
KH Wc 2110		4,00 x 4,30 x 1,20 cm
KH Wc 2111		[2,20] x 2,50 x 1,30 cm
KH Wc 2113		[2.50] x 2,20 x 0,80 cm
KH Wc 2114 		[2,70] x [3,00] x [0,50] cm
ZA 4	HM 1615	 7,30 x [18,30] x1,40 cm
ZA 5	HM 1616	 7.20x 13,20 x 1,50 cm
ZA 6	HM 1617	 8,90 x 15,90 X 1,30 cm
ZA 7	HM 1622	7,40 x [6,10] x 1,40 + 7,20 x [3,90] x 1,50 cm
ZA 8	HM 1619	 5,90 x 8,20 x 0,90 cm
ZA 9	HM 1620	 6,20 x 10,30 x 1,40 cm
ZA 10	HM 1621	 5,10 x 8,60 x 1,20 cm
ZA 11	HM 1623	 6,60 x [8,60] x 1,10 cm
ZA 12	HM 1624	 6,70 x [4,60] x 1,40 cm
ZA 13	HM 1625	 5,90 x [5,90] x 0,90 cm
ZA 14	HM 1626	 7,30 x L7,60] x 1,20 cm
ZA 15	HM 1627	 5,50 x 10,50 x 1,40 cm
ZA 16	HM 1629	 7,00 x 11,50 x 1.40 cm
ZA 17	HM 1630	 [7,00] x [5,00] x [?] cm
ZA 18	HM A632 	9,40 x [8,80] x [0,50]
ZA 19	HM 1636	 6,50 x [5,70] x 1,20 cm
ZA 21	HM 1637	 <7> x < 12> x 1,50 cm
ZA 22	HM1641+ 1 198 	[5,40] x [9,50] x 1,60 cm
ZA 24	HM1644 + 2 ke. 200 	[3,70] x [3,70] x 0,90 cm
ZA 25	HM 1652	 [4,10] x [2,90] x 0,70 cm
ZA 27	HM 	[1.60] x [1,30] × [0,60] cm
ZA 29	HM 	[2,70] x [1,90] x 1,10 cm
ZA 31	HM	[2,00] x [1,400] x [1,40]cm
HT Wa 1733+ 1845 	HM 435. 110 + HM Ac. Nodule 	1,50 x 2,20 x 1,50 cm
HT(?) Wc 3022	Piorson M. 10.615. Rondelle 	2,30 x 1,80 x 0,80 cm
KH 79 + 89	Khania M. 79 + 89. Cabletté 	[8,70] x [8,20] × [0,90] cm
ΚΗ 88	Khania M. 88. bablette 	4,60 x [6.00] x q,70 cm
КН 90	Khania M. 90. Gablette 	[4,10] x [2,80] x 0,70 cm
КН 91	Khania M.91. ablette 	[440] x [8,70] x 0,80 cm
KH Wc 2044 + fr. 	Khania M.2044+h. Romdele 	[2.70] x [3.50] x 4,10 cm
KH Wc 2117  	Khania M. 2117. Romdelle. 	[5,80] x [3,10] x 1,20 cm
KH Wc 2118	Khania M.Q41 8. Romdelle. 	[4,80] x 5,40 x 1,60 cm
МА 10	A. Nik. M. 7336. Barre à quatre faces 	[8,50] x 2,50 x 2,80 cm
MI 2	Milas M. 582 . Cablete 	[2,50] x [4,70] x 0,80 cm
PYR 2	HM 1681. Cablette   	[2,70] x [1,80] x [0,50] cm
